iter	MultiClass
0	1.081237479
1	1.059140037
2	1.049059815
3	1.044403474
4	1.0393782
5	1.032115527
6	1.028114269
7	1.026295419
8	1.018494352
9	1.013738966
10	1.012397298
11	1.01123142
12	1.008027409
13	1.0061375
14	1.00404201
15	1.00007741
16	0.9988944046
17	0.9940963971
18	0.9920831252
19	0.9909491265
20	0.9897109755
21	0.9875252158
22	0.983820549
23	0.9814222185
24	0.9802377335
25	0.9793618692
26	0.9785114552
27	0.9776535798
28	0.9766666428
29	0.9754920006
30	0.9738008086
31	0.9723541441
32	0.97132594
33	0.9702007837
34	0.9688355293
35	0.9677302915
36	0.966743762
37	0.9656249651
38	0.9642390732
39	0.9630596726
40	0.9611455443
41	0.9600338548
42	0.9592534505
43	0.9580203264
44	0.9568572197
45	0.9556290882
46	0.9525634471
47	0.9516052664
48	0.9504254046
49	0.9497411802
