iter	Passed	Remaining
0	62	3040
1	66	1585
2	70	1101
3	74	855
4	78	704
5	82	605
6	87	534
7	91	479
8	95	433
9	99	398
10	103	366
11	107	340
12	111	317
13	115	297
14	119	279
15	123	263
16	128	248
17	132	235
18	135	221
19	139	209
20	144	199
21	148	188
22	152	178
23	156	169
24	160	160
25	163	151
26	167	143
27	171	135
28	175	127
29	179	119
30	183	112
31	187	105
32	191	98
33	195	91
34	199	85
35	203	78
36	207	72
37	211	66
38	214	60
39	218	54
40	223	48
41	226	43
42	230	37
43	234	32
44	238	26
45	242	21
46	247	15
47	251	10
48	255	5
49	259	0
